route,http_code,time_connect,time_starttransfer,time_total,speed_download,size_download,content_type
"users/confirmed-password-status",200,0.000169,29.463220,29.464868,21294,627444,"text/html; charset=UTF-8"
"users/create",200,0.000104,0.132451,0.133356,485317,64720,"text/html; charset=UTF-8"
"users/logs",200,0.000837,0.489591,0.492175,1274004,627033,"text/html; charset=UTF-8"
"users/profile",200,0.000153,0.120305,0.121371,373721,45359,"text/html; charset=UTF-8"
"users/two-factor-qr-code",200,0.000216,0.342800,0.344460,1822353,627728,"text/html; charset=UTF-8"
"users/two-factor-recovery-codes",200,0.000205,0.295958,0.300239,2091144,627843,"text/html; charset=UTF-8"
"users/two-factor-secret-key",200,0.000203,0.300899,0.302256,2076699,627695,"text/html; charset=UTF-8"
"users-view",200,0.000113,0.234319,0.236937,2521509,597439,"text/html; charset=UTF-8"
"vendors",200,0.000223,0.511656,0.513635,2136077,1097164,"text/html; charset=UTF-8"
"vendors/create",200,0.000219,0.516063,0.517637,2080873,1077137,"text/html; charset=UTF-8"
"vendors/export",200,0.000242,0.476919,0.479036,2226191,1066426,"text/html; charset=UTF-8"
"vendors/imports/file",200,0.000188,0.584331,0.587034,1801069,1057289,"text/html; charset=UTF-8"
"warehouses",200,0.000100,0.235616,0.236811,2487046,588960,"text/html; charset=UTF-8"
"warehouses/create",200,0.000122,0.221829,0.223011,2629327,586369,"text/html; charset=UTF-8"
"warehouse_transfers",200,0.000136,0.187052,0.188213,3182729,599031,"text/html; charset=UTF-8"
"warehouse_transfers/create",200,0.000122,0.350981,0.352489,541426,190847,"text/html; charset=UTF-8"
"warnings",200,0.000098,0.314696,0.316621,1864273,590268,"text/html; charset=UTF-8"
"warnings/create",200,0.000108,0.121420,0.122588,558048,68410,"text/html; charset=UTF-8"
"webhook-settings/create",200,0.000134,0.111522,0.112296,548550,61600,"text/html; charset=UTF-8"
".well-knowns/appspecifics/com.chrome.devtools.json",200,0.000105,0.098973,0.099683,250,25,"application/json"
"zoom-meeting-calendar",200,0.000257,0.223185,0.224152,2625695,588555,"text/html; charset=UTF-8"
"zoom_meetings",200,0.000101,0.216599,0.217561,2748893,598052,"text/html; charset=UTF-8"
"zoom_meetings/create",200,0.000102,0.164523,0.165650,1061092,175770,"text/html; charset=UTF-8"
